,Unnamed: 0,CaseOrder,Customer_id,Interaction,City,State,County,Zip,Lat,Lng,Population,Area,Timezone,Job,Children,Age,Education,Employment,Income,Marital,Gender,Churn,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Techie,Contract,Port_modem,Tablet,InternetService,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,PaymentMethod,Tenure,MonthlyCharge,Bandwidth_GB_Year,item1,item2,item3,item4,item5,item6,item7,item8
2590,2591,2591,z628420,99265c26-7b73-4b7a-8046-97775dea1675,dunbar,wi,marinette,54119,45.6115,-88.16741,782,suburban,america/chicago,"designer, textile",1.0,53.0,regular high school diploma,retired,33186.785,divorced,male,yes,13.10165413,11,1,0,no,month-to-month,yes,no,dsl,yes,yes,no,no,no,no,yes,no,yes,mailed check,12.17300097,150.8732562,1619.686288,3,4,3,2,2,4,4,3
2591,2592,2592,o845822,76583102-619b-492e-b4ce-fedaf2c4ec97,rockwood,il,randolph,62280,37.83504,-89.65967,445,urban,america/chicago,tefl teacher,1.0,53.0,master's degree,full time,12861.54,married,female,no,10.53357491,16,1,1,no,one year,yes,yes,dsl,yes,yes,yes,no,no,yes,no,no,no,bank transfer(automatic),8.909806485,141.2126717,3382.424,4,5,4,3,4,4,2,4
2592,2593,2593,x697479,54956c8c-aaf9-492a-a0ea-1f0965f7c24d,fort lauderdale,fl,broward,33330,26.05908,-80.32174,15226,suburban,america/new_york,fitness centre manager,1.0,88.0,bachelor's degree,full time,40879.22,separated,male,no,9.77674603,19,1,0,no,month-to-month,no,yes,fiber optic,yes,no,no,no,no,no,no,no,yes,electronic check,10.48607951,111.4091455,3382.424,3,4,3,3,4,3,4,3
2593,2594,2594,q373527,fd323c69-8518-4bd6-a9e2-cc893110808a,fresno,ca,fresno,93721,36.73291,-119.78375,7611,urban,america/los_angeles,chartered certified accountant,4.0,53.0,regular high school diploma,retired,44462.77,divorced,female,no,15.10749992,10,1,0,yes,month-to-month,no,no,dsl,yes,no,no,no,no,yes,no,no,no,credit card (automatic),19.26464857,107.0378178,2203.565459,3,2,2,4,2,3,4,5
2594,2595,2595,p529004,4f0eeb56-4626-4131-953e-37cba4cfd20f,newton,ut,cache,84327,41.87167,-111.9947,841,suburban,america/denver,"engineer, maintenance",1.0,67.0,"some college, 1 or more years, no degree",full time,33186.785,widowed,male,yes,15.62081933,14,1,1,no,month-to-month,yes,no,nan,yes,no,no,no,no,no,yes,yes,no,mailed check,6.24751003,176.1095069,3382.424,4,4,4,4,3,3,3,5
2595,2596,2596,c18933,8fd12b0b-c944-4570-b0ee-72b455f4fc16,marysville,mt,lewis and clark,59640,46.73543,-112.30527,67,urban,america/denver,microbiologist,1.0,53.0,bachelor's degree,retired,33186.785,separated,male,no,12.35555887,9,1,0,yes,one year,yes,no,nan,no,no,no,no,yes,no,no,no,yes,mailed check,9.063712994,93.79234409,1031.540479,3,3,3,4,2,3,4,3
2596,2597,2597,w664355,b80e7974-6bf4-4600-99c5-dae7b57f512b,hickory hills,il,cook,60457,41.72464,-87.82808,14018,urban,america/chicago,horticultural consultant,1.0,68.0,associate's degree,part time,20306.89,never married,male,yes,7.388091677,16,1,0,no,month-to-month,no,yes,nan,yes,no,no,yes,yes,yes,no,yes,yes,electronic check,10.02603019,160.0700983,1183.503581,4,4,3,3,4,4,5,3
2597,2598,2598,p279595,36836dd6-44b1-43b4-b9d3-48cbb18d5ce7,powellton,wv,fayette,25161,38.05619,-81.32385,475,rural,america/new_york,applications developer,1.0,44.0,regular high school diploma,full time,33186.785,divorced,male,yes,13.27045999,15,0,1,no,month-to-month,no,no,dsl,yes,no,no,no,yes,no,no,yes,no,electronic check,28.22988594,139.3168893,3068.956506,4,4,5,4,4,3,3,2
2598,2599,2599,b455335,246a944c-496b-4a10-b3a3-f1740451893e,sabael,ny,hamilton,12864,43.72735,-74.30538,24,suburban,america/new_york,magazine features editor,1.0,53.0,ged or alternative credential,full time,81376.2,separated,male,no,10.22561684,5,3,2,no,two year,yes,no,dsl,no,yes,no,yes,no,yes,no,no,yes,mailed check,7.617535143,160.540679,1326.411799,4,4,4,5,4,4,3,3
2599,2600,2600,n421546,fb83c57e-4ee3-4280-901e-5cbfab1dde45,lewiston,mn,winona,55952,43.94335,-91.84355,2580,rural,america/chicago,"conservation officer, nature",1.0,53.0,bachelor's degree,full time,46435.57,divorced,female,no,13.26465494,10,0,0,no,two year,yes,no,fiber optic,yes,no,yes,no,yes,yes,no,no,no,bank transfer(automatic),20.5856111,139.6871136,3382.424,4,4,5,3,4,5,2,3
2600,2601,2601,n224205,a83a96fd-ae28-4b26-88b3-d5e22d524f5b,pingree,id,bingham,83262,43.18417,-112.76836,1283,rural,america/boise,colour technologist,1.0,75.0,doctorate degree,student,40402.71,married,male,no,9.163966997,14,0,0,no,month-to-month,yes,no,dsl,yes,yes,no,yes,yes,no,no,no,yes,electronic check,12.35900114,163.0068966,3382.424,3,3,4,3,5,3,3,2
2601,2602,2602,b225501,e0e01d8d-04f3-4146-8355-ec5affc0752b,steele,al,st. clair,35987,33.91706,-86.23811,2625,rural,america/chicago,warehouse manager,1.0,26.0,ged or alternative credential,full time,33186.785,widowed,male,no,10.15205644,6,0,0,no,one year,yes,no,nan,yes,no,yes,no,no,no,no,no,yes,mailed check,36.19603,82.99228576,923.1400229,4,4,5,3,4,3,4,4
2602,2603,2603,i33248,31ca4c82-6854-4b86-8e28-7fcfb211abf4,clarence,la,natchitoches,71414,31.82637,-93.02461,107,suburban,america/chicago,naval architect,1.0,30.0,nursery school to 8th grade,full time,9336.09,married,female,yes,15.63058568,15,1,0,no,month-to-month,yes,no,dsl,yes,yes,no,yes,yes,yes,no,yes,yes,electronic check,14.01692435,208.8317933,3382.424,1,2,3,4,3,3,3,4
2603,2604,2604,g786082,6b57e25d-ab76-44aa-88a5-c1c2c20e6564,cummings,ks,atchison,66016,39.47351,-95.23196,417,urban,america/chicago,media buyer,1.0,53.0,bachelor's degree,retired,28954.2,never married,female,no,5.886080554,16,1,1,no,one year,yes,yes,fiber optic,yes,no,no,yes,no,no,yes,no,no,electronic check,1.506136448,157.8786407,460.5286853,2,2,3,3,3,3,2,4
2604,2605,2605,e135018,f303db97-78ea-4fb3-9c5f-411f5cde4d7b,deer river,mn,itasca,56636,47.40863,-93.90402,4979,rural,america/chicago,market researcher,1.0,29.0,regular high school diploma,full time,32952.41,separated,male,yes,10.43809782,8,4,0,no,two year,yes,no,dsl,yes,no,yes,no,yes,no,yes,yes,no,credit card (automatic),5.457127202,203.3385322,1589.753327,4,3,3,3,4,3,2,3
2605,2606,2606,d285590,dc2400e5-cbbe-48b5-a985-36768398b869,pierceton,in,kosciusko,46562,41.2105,-85.69774,5295,urban,america/indiana/indianapolis,"optician, dispensing",1.0,88.0,"some college, less than 1 year",full time,33186.785,never married,female,no,9.28572066,10,0,0,no,two year,no,yes,fiber optic,yes,no,no,no,yes,no,no,no,yes,bank transfer(automatic),4.148103374,123.0025177,296.0266799,4,4,3,3,3,5,4,3
2606,2607,2607,e564058,9135d0c9-b816-40b5-b08a-78845b01763e,midland,sd,haakon,57552,44.27155,-101.19562,612,urban,america/denver,commercial art gallery manager,1.0,42.0,bachelor's degree,student,46183.09,separated,female,yes,8.928657077,10,0,0,yes,month-to-month,yes,no,fiber optic,yes,yes,no,no,yes,no,yes,yes,yes,mailed check,8.867664035,252.9163193,1362.782508,5,4,3,5,2,3,3,3
2607,2608,2608,w664734,4e156f91-25bc-40a6-85b8-bdfdfe858a30,pahokee,fl,palm beach,33476,26.80467,-80.62356,8618,rural,america/new_york,"engineer, control and instrumentation",0.0,51.0,nursery school to 8th grade,student,33186.785,never married,male,yes,11.37011859,7,1,0,no,month-to-month,yes,no,dsl,yes,no,no,yes,no,yes,no,yes,yes,mailed check,6.663036309,162.8528057,3382.424,3,2,3,4,4,3,2,3
2608,2609,2609,z172324,10ca6b20-0248-4b26-8e8b-55afc3eb9916,south bend,in,st. joseph,46613,41.6548,-86.25879,10980,rural,america/indiana/indianapolis,"buyer, industrial",4.0,68.0,"some college, 1 or more years, no degree",full time,33186.785,widowed,female,no,11.28282628,10,0,0,no,two year,yes,yes,dsl,yes,yes,no,no,no,no,no,no,yes,credit card (automatic),1.563383144,126.3371832,673.250968,4,5,4,3,5,3,5,5
2609,2610,2610,t35900,ff1ea1b0-8798-4f11-a34b-6078e663f737,pittsburgh,pa,allegheny,15201,40.47511,-79.95285,12237,suburban,america/new_york,newspaper journalist,2.0,46.0,associate's degree,part time,42550.92,divorced,male,yes,7.843449588,12,1,1,no,month-to-month,no,no,fiber optic,yes,yes,yes,yes,no,yes,yes,yes,yes,credit card (automatic),13.75425674,275.9674123,1947.058707,5,4,5,4,3,4,4,3
2610,2611,2611,v955342,e9f583c0-0700-44b6-aed9-eb2953c18a78,hortonville,wi,outagamie,54944,44.32503,-88.62775,9145,suburban,america/chicago,research scientist (life sciences),0.0,89.0,"some college, less than 1 year",full time,38411.45,married,male,yes,7.857697751,14,0,0,no,month-to-month,no,no,dsl,yes,yes,no,no,yes,no,yes,yes,no,bank transfer(automatic),2.367066364,231.6490042,1136.589804,3,4,3,4,3,3,5,3
2611,2612,2612,c36361,90b2dfad-71a3-4501-9ce1-591bcfcba2ef,broken arrow,ok,tulsa,74012,36.05359,-95.80494,62429,suburban,america/chicago,"designer, jewellery",1.0,30.0,associate's degree,retired,51136.82,never married,male,no,4.483397555,15,1,0,no,month-to-month,no,yes,fiber optic,yes,no,yes,no,yes,yes,no,no,yes,mailed check,2.333093949,139.6969376,530.0667964,6,4,5,2,5,4,5,5
2612,2613,2613,b269529,2473ea73-b742-4a36-bdda-37e4e30e50e7,indianapolis,in,marion,46203,39.73761,-86.09695,39227,suburban,america/indiana/indianapolis,"administrator, arts",0.0,56.0,professional school degree,full time,17595.76,never married,male,no,5.824748077,9,2,1,no,month-to-month,yes,yes,fiber optic,yes,no,no,no,no,yes,no,yes,yes,electronic check,14.86158123,160.2269454,1439.925812,4,2,3,4,3,2,2,4
2613,2614,2614,d873060,b6d859c7-9d9e-4dd7-aa4f-c1099c4d3150,barry,mn,big stone,56210,45.55988,-96.56527,5,rural,america/chicago,chief technology officer,0.0,31.0,bachelor's degree,full time,31609.92,widowed,female,yes,9.04196986,11,2,1,no,one year,yes,no,nan,yes,yes,no,no,no,yes,yes,yes,yes,mailed check,1.768753427,220.4134528,736.3553892,3,2,4,4,5,4,5,4
2614,2615,2615,s597816,fee7d208-48de-43cf-8f39-a84fbe76ba81,jonestown,ms,coahoma,38639,34.30309,-90.43193,1116,urban,america/chicago,pathologist,2.0,53.0,"9th grade to 12th grade, no diploma",full time,61843.65,widowed,male,yes,6.994827241,13,1,2,no,month-to-month,no,no,nan,yes,yes,no,yes,no,yes,no,yes,no,mailed check,36.19603,181.5780362,3382.424,4,4,5,5,2,5,5,5
2615,2616,2616,q226767,91953a13-be27-4dd0-82ad-f20b10d3cde0,atlanta,ga,fulton,30312,33.74478,-84.37513,22275,suburban,america/new_york,tax adviser,4.0,53.0,regular high school diploma,full time,5952.44,divorced,male,no,8.730677303,8,1,0,no,month-to-month,no,no,nan,yes,no,yes,no,yes,no,no,no,no,bank transfer(automatic),1.275947801,107.9038794,476.7850753,4,4,5,3,3,5,4,4
2616,2617,2617,f926070,6b440ebf-99e8-4728-aa51-05ee0e194638,connoquenessing,pa,butler,16027,40.82019,-80.01925,274,suburban,america/new_york,agricultural consultant,1.0,41.0,associate's degree,full time,33186.785,divorced,female,yes,6.139604898,9,2,0,no,month-to-month,no,no,fiber optic,yes,yes,yes,no,no,yes,yes,yes,no,electronic check,29.95876167,254.9587693,3119.385384,3,4,3,3,5,4,3,2
2617,2618,2618,e740186,2b81854b-382b-45d7-934e-9fe9c5a89ad2,saint martinville,la,st. martin,70582,30.15874,-91.78739,19546,urban,america/chicago,risk analyst,4.0,53.0,associate's degree,full time,62656.2,widowed,female,no,7.889598886,9,1,0,no,one year,yes,yes,dsl,yes,no,no,no,yes,no,yes,no,no,electronic check,2.073631799,127.9347982,861.7738077,6,5,5,4,3,4,3,5
2618,2619,2619,d470800,42b5c445-b016-4881-ac72-9a0f8a93b914,yale,sd,beadle,57386,44.51317,-98.00368,224,rural,america/chicago,"psychologist, counselling",2.0,53.0,regular high school diploma,full time,33186.785,never married,female,no,38.01498962,11,1,0,yes,two year,no,no,dsl,yes,no,no,yes,no,no,yes,no,yes,mailed check,36.19603,167.8374105,1584.241573,4,4,3,3,2,5,5,5
2619,2620,2620,l693816,3a84d651-5130-4603-bbbb-650e3e1afb48,san jose,ca,santa clara,95134,37.42868,-121.94341,27224,suburban,america/los_angeles,theatre stage manager,1.0,76.0,master's degree,unemployed,27520.03,never married,male,yes,10.75293316,13,1,0,no,month-to-month,yes,yes,dsl,yes,no,yes,no,yes,no,yes,yes,yes,electronic check,6.368503501,203.3799348,1756.610979,2,2,3,2,5,2,1,2
2620,2621,2621,k421567,24fa9c85-c98b-4185-b0d8-8c317c6e2cc9,corydon,ia,wayne,50060,40.75342,-93.31808,2625,rural,america/chicago,"engineer, land",2.0,82.0,associate's degree,student,24128.19,widowed,female,yes,40.56583513,9,1,0,no,month-to-month,yes,no,nan,yes,no,no,yes,yes,yes,no,yes,yes,mailed check,7.674186187,192.5241581,924.1809843,4,4,5,3,4,3,3,3
2621,2622,2622,h330611,bed90c55-f0cc-4681-b684-70515c5e9d2d,corinna,me,penobscot,4928,44.94966,-69.25694,2032,urban,america/new_york,museum/gallery curator,1.0,65.0,"9th grade to 12th grade, no diploma",full time,40835.59,married,female,no,8.105734274,15,3,0,no,one year,no,no,dsl,yes,yes,no,no,yes,no,no,yes,no,electronic check,16.7578945,171.7275909,2080.564441,3,2,4,2,3,1,2,2
2622,2623,2623,e25818,beb67d39-fcc6-42ad-831e-597fe379a227,pensacola,fl,escambia,32511,30.40606,-87.29175,1034,suburban,america/chicago,restaurant manager,3.0,53.0,regular high school diploma,full time,21334.55,widowed,male,no,9.396134312,16,1,0,no,month-to-month,no,no,nan,yes,yes,yes,no,no,yes,no,yes,yes,electronic check,8.473965945,163.3260248,3382.424,4,4,5,3,7,4,2,4
2623,2624,2624,k111418,6b6ae769-af9e-48df-bb2a-8f01dfc5bebc,wainwright,ak,north slope,99782,70.64066,-159.93042,508,suburban,america/anchorage,international aid/development worker,2.0,53.0,professional school degree,full time,27065.94,married,male,no,10.58275668,12,0,0,no,month-to-month,no,yes,nan,yes,yes,no,no,yes,yes,yes,no,yes,electronic check,30.82190637,162.2865,3042.656083,2,2,3,3,4,3,4,2
2624,2625,2625,q154549,4f7c5e25-18c8-4649-b424-55012e7e1d6a,slater,mo,saline,65349,39.23206,-93.04875,2539,rural,america/chicago,"teacher, secondary school",1.0,55.0,associate's degree,full time,47950.33,divorced,female,yes,9.728375149,10,1,1,yes,month-to-month,yes,yes,fiber optic,yes,no,no,no,no,no,no,yes,yes,bank transfer(automatic),7.843199744,145.4645871,935.4475784,4,4,4,4,3,5,2,3
2625,2626,2626,y901042,50d34955-5dac-4207-bbf7-31e578c89ee3,manassas,va,prince william,20112,38.66652,-77.42484,26902,suburban,america/new_york,public relations account executive,0.0,29.0,"some college, 1 or more years, no degree",full time,36470.53,widowed,female,no,3.396671916,15,2,1,no,one year,no,yes,fiber optic,yes,no,yes,no,no,no,no,no,yes,electronic check,8.035139837,114.1150081,798.0189824,4,4,4,3,3,4,5,3
2626,2627,2627,j567825,1789bd68-3077-4a5b-904e-cc22b830a667,cape coral,fl,lee,33914,26.56799,-82.01544,37375,suburban,america/new_york,"psychotherapist, child",1.0,82.0,master's degree,part time,36598.52,never married,male,yes,10.53307009,12,1,1,no,month-to-month,yes,no,nan,yes,yes,yes,no,yes,yes,yes,no,yes,mailed check,5.150962982,164.7885055,822.9997439,2,3,3,4,2,2,5,2
2627,2628,2628,c816362,cfefeabe-9fc3-438f-9ebe-dc79c05ff904,beavertown,pa,snyder,17813,40.7829,-77.17549,2131,rural,america/new_york,management consultant,3.0,56.0,bachelor's degree,full time,20980.42,never married,female,yes,9.754048052,12,0,1,no,month-to-month,no,no,fiber optic,yes,yes,no,yes,yes,no,yes,yes,yes,credit card (automatic),24.27319837,275.1671671,2765.521967,2,2,3,1,4,3,2,2
2628,2629,2629,y07907,9125bbf5-64a9-4283-b1a8-b06e38bbbff5,waverly,il,morgan,62692,39.58137,-89.9399,2122,suburban,america/chicago,civil service fast streamer,3.0,53.0,"some college, less than 1 year",full time,6315.61,married,female,no,8.176800797,7,0,1,no,two year,no,yes,fiber optic,no,yes,yes,no,yes,no,yes,yes,yes,mailed check,9.385169516,255.7415243,1461.269401,4,4,4,3,4,3,3,5
2629,2630,2630,g404485,c99db8d7-8241-4609-9c10-6d316b10a581,monroe,or,benton,97456,44.34026,-123.36052,2684,rural,america/los_angeles,best boy,4.0,80.0,associate's degree,unemployed,6074.44,separated,female,yes,10.34700983,14,2,1,no,month-to-month,no,no,fiber optic,yes,no,no,no,yes,yes,yes,no,no,bank transfer(automatic),13.8197199,161.8212643,1438.002278,4,4,4,6,1,4,2,6
2630,2631,2631,l927003,2b634f9b-52d0-4e03-b302-c16d577429ba,midland,va,fauquier,22728,38.58746,-77.69398,3182,suburban,america/new_york,associate professor,1.0,74.0,ged or alternative credential,unemployed,36966.64,divorced,male,yes,7.2832044,11,1,0,no,one year,no,no,nan,yes,no,no,no,yes,no,yes,yes,yes,mailed check,1.372579996,186.5379423,680.4074741,2,4,4,3,5,2,2,2
2631,2632,2632,f477453,1bd8a4c4-a089-4c1f-90c0-5c67f1d7bed8,algonac,mi,st. clair,48001,42.63776,-82.57958,11885,rural,america/detroit,civil service fast streamer,1.0,53.0,doctorate degree,retired,18377.18,married,female,no,14.51769782,7,0,0,no,two year,no,yes,fiber optic,yes,no,no,no,yes,yes,no,no,no,bank transfer(automatic),1.846870219,138.5845743,464.4350832,3,3,3,4,4,3,3,4
2632,2633,2633,e706607,7df0d23c-4290-4e60-abfd-15de9d2034d1,cissna park,il,iroquois,60924,40.55778,-87.88532,1485,urban,america/chicago,administrator,1.0,53.0,"some college, 1 or more years, no degree",full time,128114.29,widowed,female,yes,11.31716612,10,0,0,no,month-to-month,yes,no,fiber optic,yes,yes,yes,yes,no,no,no,yes,no,mailed check,12.23147105,219.3209337,1483.466725,2,4,4,4,4,5,2,2
2633,2634,2634,q69497,db885f20-0efc-4471-bb46-d2abd5afdefc,sentinel,ok,washita,73664,35.18591,-99.24866,1114,suburban,america/chicago,heritage manager,0.0,53.0,regular high school diploma,full time,21200.76,separated,male,no,14.79716684,11,0,1,no,two year,yes,yes,nan,yes,yes,yes,no,no,yes,no,no,yes,mailed check,6.554584071,128.9037857,831.986868,4,4,4,4,4,3,5,4
2634,2635,2635,x672018,889a7a02-1d28-4a0c-9fd8-2630e181071c,gillett,tx,karnes,78116,29.11262,-97.75698,281,rural,america/chicago,energy engineer,0.0,23.0,"some college, 1 or more years, no degree",full time,33186.785,divorced,female,yes,40.35053726,13,1,0,no,month-to-month,yes,no,nan,yes,yes,no,no,yes,no,yes,no,yes,mailed check,2.599616568,179.8662724,3382.424,3,2,2,4,4,1,2,4
2635,2636,2636,j509388,f1d66a27-beca-4079-85a8-de3a64345ff6,san diego,ca,san diego,92107,32.7398,-117.24373,31148,urban,america/los_angeles,"conservation officer, historic buildings",0.0,81.0,bachelor's degree,unemployed,33186.785,married,male,yes,11.87132811,13,1,0,no,month-to-month,yes,yes,dsl,yes,no,no,yes,yes,yes,yes,no,no,mailed check,36.19603,166.0501421,965.4344564,4,3,4,1,4,4,2,4
2636,2637,2637,z177465,bae5fe0d-9ee8-4d82-be2c-7bb7fe9bc336,winstonville,ms,bolivar,38781,33.90855,-90.75661,217,rural,america/chicago,equities trader,1.0,76.0,regular high school diploma,full time,33186.785,separated,male,yes,9.793960927,11,2,0,no,month-to-month,no,yes,dsl,yes,yes,yes,yes,yes,no,no,yes,yes,mailed check,16.12971042,197.7322101,2275.291432,3,3,3,3,4,2,3,2
2637,2638,2638,w872847,f5a304c6-4d33-43c3-aea9-b9297de0f557,columbus,oh,franklin,43203,39.9731,-82.96898,8368,rural,america/new_york,musician,1.0,29.0,"some college, less than 1 year",part time,41658.22,married,female,no,10.95406562,10,0,0,no,month-to-month,yes,no,dsl,yes,yes,no,no,yes,no,no,no,no,mailed check,23.9038033,136.375729,2593.650846,3,4,5,3,4,4,4,4
2638,2639,2639,l639744,f3c1d74f-c846-4eb8-82c1-19f039a15a04,clyde,tx,callahan,79510,32.27507,-99.52899,7379,suburban,america/chicago,fitness centre manager,0.0,88.0,nursery school to 8th grade,retired,35311.08,divorced,male,no,11.60075237,11,2,1,no,month-to-month,no,no,fiber optic,yes,no,yes,yes,no,yes,no,yes,no,mailed check,1.734089974,184.6830232,3382.424,3,2,5,3,5,5,1,3
2639,2640,2640,o566378,1f5473c6-f514-420c-89f8-ba345ce6a69f,pennington,tx,trinity,75856,31.18888,-95.25573,98,urban,america/chicago,professor emeritus,1.0,18.0,bachelor's degree,full time,9961.23,separated,male,no,17.2120951,13,0,2,no,two year,yes,no,fiber optic,yes,no,no,no,yes,no,no,no,yes,bank transfer(automatic),17.45181983,126.1055851,1759.464436,3,3,4,1,4,2,4,3
2640,2641,2641,i138940,5c8e729a-6b55-4845-9a22-cb85422f3f84,bowdon,ga,carroll,30108,33.53232,-85.2632,7351,rural,america/new_york,horticultural therapist,1.0,53.0,associate's degree,unemployed,43867.04,never married,prefer not to answer,yes,7.986433614,12,2,0,no,two year,yes,no,dsl,yes,no,no,yes,no,yes,yes,yes,no,credit card (automatic),3.825479811,221.1618575,3382.424,3,5,5,3,3,3,3,6
2641,2642,2642,s281020,1626d6fb-96a1-433c-867d-8fb7eded114d,gillette,nj,morris,7933,40.69196,-74.46494,3231,suburban,america/new_york,police officer,1.0,88.0,nursery school to 8th grade,full time,6742.39,widowed,male,no,10.83394587,14,0,0,no,one year,yes,no,nan,yes,no,no,yes,yes,no,yes,no,yes,electronic check,10.00948532,140.4820114,3382.424,2,4,4,2,4,2,2,2
2642,2643,2643,g410567,100c5cb2-7d6a-4f28-986e-fe20f5704f8d,toronto,sd,deuel,57268,44.56975,-96.69075,456,suburban,america/chicago,fashion designer,4.0,63.0,regular high school diploma,full time,39377.62,married,male,no,10.31486576,10,3,1,no,two year,yes,yes,dsl,yes,no,yes,yes,yes,yes,no,no,no,bank transfer(automatic),15.81095182,143.8322069,2126.056803,3,5,4,3,4,2,2,2
2643,2644,2644,t577346,007cfb08-cd26-4bcd-9eaa-5d47cf0add56,quemado,tx,maverick,78877,28.94734,-100.59231,777,suburban,america/chicago,homeopath,4.0,43.0,associate's degree,retired,33186.785,divorced,female,yes,10.36786565,14,1,0,no,one year,yes,no,fiber optic,yes,yes,no,no,no,no,yes,yes,yes,credit card (automatic),4.31097376,239.7019375,1024.131285,2,3,2,4,3,3,2,2
2644,2645,2645,y833178,07a0547a-e435-485a-aaba-2e82dd8c3a14,frankfort,me,waldo,4438,44.59856,-68.91904,1001,suburban,america/new_york,food technologist,1.0,86.0,master's degree,full time,40628.46,separated,female,yes,11.56854471,9,1,0,yes,month-to-month,no,yes,fiber optic,yes,no,yes,no,yes,yes,yes,no,yes,credit card (automatic),1.200106313,164.4410344,336.3711095,2,3,4,4,2,5,3,3
2645,2646,2646,o404871,3b9fbc47-515f-4ee7-afab-0cd1ce98fdd9,forsyth,mo,taney,65653,36.77912,-93.11433,5981,suburban,america/chicago,radiation protection practitioner,1.0,53.0,"some college, 1 or more years, no degree",full time,29680.81,divorced,female,yes,8.67728901,8,0,0,no,month-to-month,no,no,fiber optic,yes,yes,no,no,yes,yes,yes,no,yes,electronic check,1.998180276,194.656915,758.9886777,2,2,5,3,3,4,3,3
2646,2647,2647,e356128,7cf8fd15-c4a7-4c31-a26a-f77dc6208e79,morrisville,nc,wake,27560,35.85921,-78.82712,32801,rural,america/new_york,optometrist,1.0,18.0,"9th grade to 12th grade, no diploma",full time,33186.785,separated,female,no,7.214530214,13,1,1,no,two year,no,no,fiber optic,yes,no,yes,yes,no,no,no,no,yes,bank transfer(automatic),16.93744855,138.1528154,3382.424,3,4,4,5,3,5,4,3
2647,2648,2648,z681811,cf923f17-74f6-4d8e-954d-80b2c6510b5e,rumson,nj,monmouth,7760,40.36894,-74.00421,8867,urban,america/new_york,banker,3.0,21.0,"some college, less than 1 year",full time,33186.785,widowed,male,yes,10.8044929,12,2,0,yes,month-to-month,no,yes,fiber optic,yes,no,no,no,no,yes,yes,yes,no,credit card (automatic),13.05372939,220.9462258,1761.265371,2,2,2,3,4,2,1,3
2648,2649,2649,n524531,d2fa8264-f2e2-4af5-b422-b68b6eecef88,york,pa,york,17407,39.88326,-76.7119,2226,urban,america/new_york,barrister,3.0,45.0,"9th grade to 12th grade, no diploma",full time,38936.96,married,male,no,8.284280593,10,3,1,no,month-to-month,no,no,fiber optic,yes,yes,no,no,yes,no,yes,no,yes,bank transfer(automatic),3.533322829,180.2064623,793.8062657,3,3,4,3,3,4,1,4
2649,2650,2650,c221288,052ffabb-b6ee-4dda-b850-540e740ba0ff,la luz,nm,otero,88337,32.99129,-105.89153,2139,rural,america/denver,advertising account executive,1.0,20.0,regular high school diploma,unemployed,30767.83,never married,female,no,10.1190626,12,1,0,no,month-to-month,yes,no,fiber optic,yes,yes,no,no,no,no,no,yes,yes,credit card (automatic),16.93328849,178.4623426,2020.896358,3,2,3,5,3,3,1,2
2650,2651,2651,x821996,483c930d-1350-4c26-88e7-23127373762f,farmerville,la,union,71241,32.77183,-92.36288,9996,suburban,america/chicago,"research officer, trade union",0.0,59.0,"9th grade to 12th grade, no diploma",full time,27832.64,widowed,female,no,11.49765183,16,1,1,no,two year,yes,no,fiber optic,yes,no,no,yes,no,no,no,no,yes,bank transfer(automatic),2.888303003,136.623792,296.7260391,3,3,4,4,4,4,5,4
2651,2652,2652,r105246,0cdb0d16-1ce8-4ae5-942f-a29e9dce5505,rickreall,or,polk,97371,44.98779,-123.20653,647,urban,america/los_angeles,textile designer,1.0,54.0,nursery school to 8th grade,full time,44711.74,widowed,female,yes,10.92278814,13,0,0,no,month-to-month,no,no,nan,yes,no,yes,no,no,no,yes,no,no,credit card (automatic),6.307859466,106.6070323,862.6906733,4,4,4,3,5,4,3,6
2652,2653,2653,c229879,df85d2ba-c783-4350-9d4a-d79f439187da,lenox,al,conecuh,36454,31.33328,-87.2006,39,rural,america/chicago,lawyer,0.0,67.0,regular high school diploma,full time,7004.93,never married,female,yes,6.225654417,9,0,0,no,month-to-month,yes,no,dsl,yes,yes,no,yes,yes,yes,no,no,yes,credit card (automatic),4.812563005,171.7999106,1003.080929,6,5,6,3,3,5,6,3
2653,2654,2654,u168359,ce69f391-3f38-43f0-9602-cec92b388aa4,lyons,in,greene,47443,38.95976,-87.09107,1332,urban,america/indiana/indianapolis,quarry manager,10.0,63.0,regular high school diploma,student,33186.785,widowed,male,no,11.20930075,17,1,0,no,month-to-month,no,no,fiber optic,yes,no,no,no,yes,no,yes,no,no,electronic check,25.10781148,149.1061001,2646.099689,3,3,3,3,5,4,4,4
2654,2655,2655,m661436,9535f6f8-8f97-46d6-b87a-f1977cb029ff,clearwater,fl,pinellas,33755,27.97958,-82.77982,25445,suburban,america/new_york,media planner,0.0,46.0,"some college, 1 or more years, no degree",full time,33186.785,separated,female,no,11.41831578,9,1,0,no,two year,yes,no,dsl,yes,no,no,yes,no,yes,no,yes,yes,mailed check,10.32034179,162.7292574,1525.81124,3,3,4,4,2,4,3,3
